Rank,Timestamp,Coin Name,Price (USD),24h Change,Market Cap
1,15-06-2026 20:26:23,Bitcoin,"$66,586.83",0.00%,"$1,334,605,617,739"
2,15-06-2026 20:26:25,Ethereum,"$1,814.61",0.19%,"$218,995,453,468"
3,15-06-2026 20:26:28,Tether,$0.9991,0.01%,"$186,391,258,264"
4,15-06-2026 20:26:33,BNB,$627.05,0.07%,"$84,516,805,773"
5,15-06-2026 20:26:33,XRP,$1.24,0.11%,"$77,095,535,618"
6,15-06-2026 20:26:33,USDC,$0.9996,0.01%,"$74,937,238,028"
7,15-06-2026 20:26:35,Solana,$73.79,0.27%,"$42,798,394,879"
8,15-06-2026 20:26:37,TRON,$0.3190,0.38%,"$30,253,453,409"
9,15-06-2026 20:26:38,Hyperliquid,$67.37,0.40%,"$17,077,836,669"
10,15-06-2026 20:26:38,Dogecoin,$0.08941,0.96%,"$15,234,276,851"
